dominio,certificado,data_emissao,data_expiracao
1cbfb5e0794e94ccb186a288113d2e0d.viagens.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
3an2e57towv6.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
3bd16b54eecce5b3515fc1d485953357.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
3bd16b54eecce5b3515fc1d485953357.www.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
3lu3a2h775zlhvrapjq7tkluzpm6pbjn._domainkey.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
4mdq7b35m42p4n6gcifyvtyt46tpkugh._domainkey.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
4rc67ia2t5wien6gmzegmda3447u3xns._domainkey.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
57vdobfkpvovhofkspebfoab7gomsq3f._domainkey.cob.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
7k7oodzzfkgr25yocgj5sqy53qw3dvaa._domainkey.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
7w5wkcc3s7lnwrewgnygtxm2r5yrort5._domainkey.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_09c1c31442cca7e52f366b90b9b81535.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_0c5330a2b84d22f80e0ceb883b427c39.sacola.clube2.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_2e063e81c4ba5be7bc36696a367f290e.sacola.clube2.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_404e3443783bc0133abe4457bc02b0a6.cashoracius.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_40ff3051b3696580b7e268362ce0d913.atendimento.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_4361f54a265633bf4ba2f5750fc45ae1.m.clube.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_4e01929c3dc73728765600a89d657b9a.sacola.clube2.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_508d8357a514849f9a21591574582a33.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_52ee6496a37b253fcfc5862717398630.acme-proxy.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_669ccc279ab9c3554c4344f3f1711e5d.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_701d7f5ed1537e8bb4ac011020b34841.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_8d1b5943ec2624e1d8f300fde2dbe442.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_9a0f40f4e9d3761849b4cc979ff2a650.busca.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_a728e16871d031bc6728fe8d0e1e8769.acme-api.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_acme-challenge.m.clube.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_acme-challenge.m.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_acme-challenge.sacola.clube2.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_acme-challenge.sacolamobile.clube.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_acme-challenge.www.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_amazonses.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_d28b1dd3251387fdf1857df7bc63ac54.busca.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_d3ff797f1d1ec8f7b9820f2d4e8f41f8.sacola.clube2.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_dmarc.comschool.magazineluiza.com.brmagazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_dmarc.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_dnsauth.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_e4c5e22a1b163ceacb22ed7f194028ad.busca.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_e9bb91bd55f3903b8ed2fbc8fe653580.pis.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_spf.external_email-messaging.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_spf.external_rdstation1.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_spf.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_spf.saida.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_spf_external.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_spf_google1.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_spf_saida.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
_xmpp-server._tcp.gmail.com.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
aba-admin-api-staging.magazineluiza.com.br,magazineluiza.com.br,2026-05-15 13:26:32 UTC,2026-11-30 13:26:31 UTC
aba-admin-api.magazineluiza.com.br,magazineluiza.com.br,2026-05-15 13:26:32 UTC,2026-11-30 13:26:31 UTC
aba-admin-staging-api.magazineluiza.com.br,,ERRO: timeout na conexão,ERRO: timeout na conexão
aba-api-gcp-k8s-magalu-pontos-fisicos.magazineluiza.com.br,,ERRO: write:errno=0,ERRO: write:errno=0
aba-api-pontos-fisicos-a.magazineluiza.com.br,,ERRO: write:errno=0,ERRO: write:errno=0
aba-api.magazineluiza.com.br,magazineluiza.com.br,2026-05-15 13:26:32 UTC,2026-11-30 13:26:31 UTC
aba-api.magazineluiza.com.brmagazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
aba-autosupply-hml.magazineluiza.com.br,magazineluiza.com.br,2026-05-15 13:26:32 UTC,2026-11-30 13:26:31 UTC
aba-autosupply-staging.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
aba-autosupply-temp.magazineluiza.com.br,,ERRO: write:errno=0,ERRO: write:errno=0
aba-autosupply.magazineluiza.com.br,magazineluiza.com.br,2026-05-15 13:26:32 UTC,2026-11-30 13:26:31 UTC
aba-cancelamento-staging.magazineluiza.com.br,,ERRO: timeout na conexão,ERRO: timeout na conexão
aba-inauguracao-api-temp.magazineluiza.com.br,,ERRO: write:errno=0,ERRO: write:errno=0
aba-integration.magazineluiza.com.br,,ERRO: write:errno=0,ERRO: write:errno=0
abastecimento-luiza-temp.magazineluiza.com.br,,ERRO: write:errno=0,ERRO: write:errno=0
abastecimento-staging.magazineluiza.com.br,magazineluiza.com.br,2026-05-15 13:26:32 UTC,2026-11-30 13:26:31 UTC
abastecimento.magazineluiza.com.br,magazineluiza.com.br,2026-05-15 13:26:32 UTC,2026-11-30 13:26:31 UTC
abraceonovo.magazineluiza.com.br,,ERRO: connect:errno=0,ERRO: connect:errno=0
acme-admin.magazineluiza.com.br,magazineluiza.com.br,2026-05-15 13:26:32 UTC,2026-11-30 13:26:31 UTC
acme-api-beehive-internal.magazineluiza.com.br,,ERRO: timeout na conexão,ERRO: timeout na conexão
acme-api-internal.magazineluiza.com.br,,ERRO: timeout na conexão,ERRO: timeout na conexão
